Cake_Flavor,Flour_Quantity (g),Sugar_Content (g),Butter_Quantity (g),Egg_Count,Milk_Quantity (ml),Oven_Temperature (°C),Baking_Time (min),Mixing_Time (min),Cooling_Time (min),Decoration_Time (min),Oven_Type,Frosting_Type,Ingredient_Source,Production_Cost (₹),Temperature_Humidity (%),Ingredient_Quality_Score,Baker_Experience (years),Customer_Rating,Production_Date,Cake_Quality
Vanilla,289.5 g,228.2 g,124.1,4.0,227.6,210.3 °C,31.8,9.0,22.1,11.8,Electric,Ganache,Imported,259.1,52.7 %,7.8,9,4.7,2023-11-10,Good
Chocolate,236.9 g,169.9 g,160.5,1.0,186.8,198.0 °C,27.6,9.7,24.8,11.5,Electric,Ganache,Mixed,466.3,49.0 %,6.5,8,3.0,2023-06-19,Average
Chocolate Truffle,325.2 g,180.9 g,126.5,4.0,218.3,190.1 °C,29.1,7.3,18.8,19.1,Convection,Buttercream,Local,329.6,68.1 %,8.5,2,4.2,2024-09-27,Good
Chocolate,309.9 g,211.1 g,136.2,4.0,161.6,208.3 °C,33.0,5.7,16.9,10.8,Electric,Whipped Cream,Imported,379.0,45.4 %,9.5,7,3.9,2023-07-17,Excellent
Vanilla,295.6 g,191.1 g,124.1,3.0,145.8,174.3 °C,35.9,9.0,16.3,3.8,Convection,Whipped Cream,Mixed,226.9,50.5 %,6.8,4,5.0,2025-04-26,Average
Vanilla,335.0 g,177.5 g,142.3,2.0,151.9,,24.3,13.6,19.5,5.2,Gas,Buttercream,Local,322.7,46.2 %,7.9,4,4.2,2025-05-13,Good
Chocolate Truffle,294.4 g,168.2 g,139.0,3.0,203.1,183.9 °C,43.4,9.4,15.3,15.3,Gas,Fondant,Mixed,191.0,69.6 %,8.1,8,4.1,2024-03-29,Good
Black Forest,294.3 g,212.3 g,137.7,2.0,165.1,211.0 °C,42.0,9.3,6.9,12.7,Gas,Buttercream,Mixed,350.2,50.1 %,5.3,6,3.7,2025-09-08,Average
Pineapple,345.6 g,210.2 g,141.1,2.0,137.5,178.6 °C,55.0,11.8,13.4,9.6,Electric,Whipped Cream,Mixed,269.1,64.8 %,8.1,13,3.7,2025-05-12,Good
Vanilla,322.4 g,200.6 g,156.2,3.0,184.2,192.1 °C,37.4,10.4,13.3,7.3,Gas,Whipped Cream,Local,196.2,63.3 %,10.0,1,3.5,2024-02-24,Excellent
Strawberry,252.6 g,186.3 g,153.3,3.0,168.6,205.9 °C,33.5,5.4,12.4,11.7,Gas,Buttercream,Mixed,280.7,51.8 %,7.8,2,3.7,2025-02-04,Good
Strawberry,301.7 g,176.9 g,122.4,2.0,169.3,213.7 °C,22.9,11.0,17.3,10.9,Electric,Whipped Cream,Local,335.1,59.4 %,6.6,15,3.3,2024-03-23,Average
Pineapple,257.4 g,194.4 g,127.2,2.0,135.7,188.2 °C,22.8,4.5,5.0,12.3,Convection,Fondant,Local,373.3,57.5 %,6.1,10,3.2,2024-09-16,Average
Chocolate Truffle,296.5 g,174.2 g,159.1,3.0,139.7,185.2 °C,26.7,13.7,6.8,0.6,Electric,Buttercream,Local,230.0,57.6 %,7.5,5,3.1,2023-06-19,Good
Chocolate,295.4 g,182.2 g,125.7,3.0,162.2,216.7 °C,24.7,11.6,15.7,8.7,Convection,Whipped Cream,Local,291.0,51.7 %,6.3,4,4.8,2024-05-30,Average
Black Forest,239.3 g,227.4 g,148.3,1.0,152.5,236.8 °C,31.1,11.4,15.5,11.7,Electric,Fondant,Mixed,442.0,54.0 %,6.9,13,4.0,2025-08-25,Average
Chocolate,273.8 g,168.0 g,156.8,1.0,161.6,185.4 °C,29.0,16.3,15.3,8.0,Convection,Ganache,Local,257.0,64.0 %,6.7,6,3.0,2023-07-28,Average
Strawberry,287.3 g,210.9 g,115.8,2.0,208.4,167.9 °C,43.8,6.7,13.2,14.2,Convection,Whipped Cream,Imported,449.5,51.4 %,6.7,2,4.1,2024-02-15,Average
Vanilla,264.0 g,235.0 g,131.2,5.0,149.3,227.6 °C,39.2,12.1,16.3,13.8,Electric,Fondant,Mixed,245.3,53.4 %,7.0,1,3.1,2024-09-29,Good
Vanilla,289.2 g,214.5 g,156.2,3.0,153.0,196.0 °C,40.1,10.6,13.4,4.0,Gas,Buttercream,Local,291.7,50.7 %,6.3,4,5.0,2023-12-01,Average
,309.0 g,204.1 g,135.6,5.0,162.8,185.4 °C,22.1,11.7,18.0,15.9,Convection,Fondant,Imported,263.8,47.4 %,6.1,7,4.1,2023-01-26,Average
Strawberry,276.9 g,186.9 g,131.3,3.0,151.7,199.2 °C,35.3,8.7,5.0,7.3,Electric,Fondant,Local,518.8,55.5 %,7.1,3,4.8,2023-10-22,Good
,285.9 g,183.8 g,156.6,2.5,171.6,238.0 °C,21.8,11.6,14.9,13.4,Gas,Buttercream,Local,316.4,44.1 %,7.0,10,2.0,2023-09-02,Good
White Forest,336.4 g,164.1 g,164.1,3.0,216.6,209.6 °C,39.7,9.7,15.6,11.1,Electric,Fondant,Imported,227.9,60.8 %,7.3,4,3.6,2024-11-06,Good
Vanilla,295.3 g,196.2 g,127.2,3.0,169.5,211.9 °C,29.1,13.0,8.4,7.9,Gas,Ganache,Local,252.7,47.0 %,5.7,4,2.9,2023-05-23,Average
Chocolate,285.0 g,187.9 g,186.1,3.0,186.8,200.9 °C,24.4,10.8,6.2,15.7,Electric,Ganache,Local,421.5,49.7 %,7.5,11,4.1,2024-07-19,Good
White Forest,249.5 g,,114.5,1.0,125.1,206.3 °C,31.5,12.9,14.7,15.9,Electric,Ganache,Local,221.5,53.5 %,9.3,4,3.1,2025-02-09,Excellent
Vanilla,303.3 g,195.1 g,117.1,1.0,180.9,231.8 °C,29.9,8.0,10.0,11.9,Electric,Ganache,Imported,356.5,50.9 %,8.7,4,4.1,2023-05-30,Good
Red Velvet,289.8 g,196.7 g,130.5,2.0,237.4,185.5 °C,40.9,8.6,11.5,13.8,Electric,Ganache,Mixed,276.4,55.4 %,6.7,5,3.5,2023-02-09,Average
Black Forest,331.3 g,184.0 g,132.4,3.0,181.5,211.5 °C,30.6,6.6,17.3,6.1,Electric,Ganache,Local,312.2,56.2 %,6.7,5,5.0,2023-04-08,Average
Vanilla,279.5 g,239.1 g,133.1,3.0,182.4,197.7 °C,35.2,13.8,,18.1,Gas,Ganache,Imported,580.9,46.8 %,8.1,8,3.3,2023-05-09,Good
Chocolate,230.2 g,212.2 g,129.3,3.0,187.8,,27.7,15.4,18.6,9.7,Electric,Buttercream,Imported,316.5,52.7 %,9.4,8,3.2,2023-08-31,Excellent
Vanilla,232.5 g,216.7 g,126.5,4.0,242.0,182.5 °C,30.8,7.7,24.3,10.7,Gas,Ganache,Local,631.6,48.8 %,9.7,7,4.5,2024-08-14,Excellent
,306.0 g,193.4 g,134.3,4.0,231.4,205.3 °C,26.9,10.8,17.0,15.7,Convection,Buttercream,Local,233.8,58.9 %,7.8,6,5.0,2023-04-29,Good
Black Forest,260.1 g,206.7 g,128.4,3.8,150.3,208.2 °C,32.0,14.1,21.2,8.4,Gas,Fondant,Imported,310.8,66.5 %,6.0,6,4.4,2024-01-08,Average
Black Forest,293.8 g,180.0 g,152.8,3.0,224.4,,39.2,10.4,12.5,2.9,Electric,Buttercream,Mixed,244.1,54.6 %,9.3,9,3.7,2025-08-01,Excellent
Black Forest,281.9 g,210.6 g,138.8,2.0,232.5,225.9 °C,37.6,10.4,7.8,3.5,Convection,Whipped Cream,Local,297.7,44.4 %,5.9,3,5.0,2025-10-25,Average
Chocolate,272.4 g,191.5 g,134.3,2.0,135.7,199.6 °C,45.5,7.5,8.7,6.3,Convection,Fondant,Local,316.9,53.6 %,8.0,11,4.1,2023-07-23,Good
Vanilla,274.7 g,178.2 g,136.9,2.0,179.1,172.2 °C,24.3,10.3,8.0,16.5,Gas,Fondant,Mixed,278.5,46.7 %,8.1,9,3.9,2023-09-25,Good
White Forest,251.9 g,195.0 g,,2.0,196.4,207.6 °C,33.9,7.1,17.9,19.9,Gas,Fondant,Imported,257.6,52.4 %,6.2,2,5.0,2024-02-09,Average
Chocolate,277.4 g,189.9 g,130.0,2.0,118.0,182.3 °C,30.5,14.5,,15.2,Gas,Buttercream,Local,273.4,59.0 %,7.3,6,4.4,2023-12-24,Good
Vanilla,259.6 g,267.6 g,119.6,1.0,158.7,225.5 °C,35.7,3.2,12.3,7.6,Gas,Ganache,Mixed,193.7,46.7 %,7.4,6,4.5,2024-02-25,Good
Vanilla,265.9 g,204.9 g,123.1,3.0,157.8,236.2 °C,35.9,6.3,,10.6,Electric,Buttercream,Imported,323.1,55.9 %,6.5,9,4.5,2025-07-19,Average
Red Velvet,267.4 g,237.9 g,134.1,3.0,159.6,216.4 °C,27.7,10.7,14.8,8.2,Electric,Buttercream,Imported,278.0,57.4 %,7.4,5,4.6,2025-04-19,Good
Butterscotch,270.5 g,223.4 g,148.1,3.0,217.3,198.3 °C,,6.0,13.8,2.8,Gas,Whipped Cream,Local,336.9,48.7 %,10.0,11,5.0,2025-03-01,Excellent
Chocolate,314.2 g,196.2 g,157.9,1.0,176.5,208.6 °C,33.8,4.2,10.4,6.6,Convection,Ganache,Local,263.9,41.6 %,8.2,3,3.3,2024-08-03,Good
Red Velvet,273.6 g,187.2 g,181.7,1.0,192.6,187.5 °C,45.8,17.8,18.3,5.6,Gas,Buttercream,Local,452.9,58.3 %,8.5,8,3.2,2023-03-04,Good
Chocolate,318.8 g,169.2 g,154.2,3.0,181.2,208.8 °C,23.5,11.8,12.4,1.4,Gas,Buttercream,Imported,311.0,50.4 %,7.3,6,4.4,2025-04-23,Good
Butterscotch,344.6 g,180.4 g,124.4,1.0,294.7,186.9 °C,30.3,9.3,15.9,8.5,Electric,Ganache,Imported,333.7,52.7 %,9.8,5,3.7,2023-11-29,Excellent
Chocolate,311.2 g,210.5 g,134.6,4.0,215.3,236.3 °C,45.4,11.5,16.8,10.9,Electric,Fondant,Imported,817.0,57.0 %,6.6,8,3.7,2024-07-07,Average
Vanilla,297.7 g,189.7 g,111.2,3.8,177.7,184.4 °C,36.6,11.3,15.1,8.7,Convection,Ganache,Mixed,275.8,57.6 %,6.0,10,4.0,2025-04-12,Average
White Forest,289.6 g,203.6 g,132.8,3.0,170.2,177.0 °C,,7.9,13.5,8.8,Gas,Fondant,Mixed,308.1,47.0 %,6.6,3,4.4,2025-05-25,Average
Black Forest,311.6 g,166.2 g,128.2,4.0,158.3,195.7 °C,34.5,9.1,14.9,9.0,Electric,Fondant,Local,256.9,53.1 %,7.4,7,4.4,2024-02-03,Good
Red Velvet,281.0 g,,110.1,3.0,151.4,208.4 °C,20.0,9.2,11.6,4.0,Electric,Fondant,Local,394.6,48.9 %,6.8,4,3.9,2023-12-30,Average
Vanilla,317.0 g,222.4 g,199.9,3.0,146.3,248.0 °C,40.0,8.8,,14.1,Electric,Ganache,Imported,290.1,55.7 %,6.6,8,4.2,2023-03-01,Average
Vanilla,300.9 g,168.8 g,131.7,3.0,214.6,187.8 °C,28.1,8.7,16.8,3.3,Electric,Buttercream,Local,297.8,58.7 %,6.3,4,3.3,2024-09-27,Average
,266.3 g,203.5 g,111.7,4.0,153.3,199.3 °C,35.3,12.4,9.7,3.9,Electric,Ganache,Local,430.9,55.1 %,6.9,5,4.1,2025-01-07,Average
Chocolate,313.0 g,230.0 g,,,200.8,198.3 °C,36.3,9.4,11.3,18.4,Electric,Buttercream,Local,289.2,55.6 %,7.4,3,4.3,2024-10-30,Good
Red Velvet,281.1 g,241.5 g,181.8,4.0,163.4,183.6 °C,32.7,12.8,13.9,9.9,Gas,Whipped Cream,Local,493.6,49.2 %,8.9,10,3.2,2024-03-05,Good
Vanilla,274.4 g,186.2 g,191.5,3.0,156.9,184.2 °C,20.0,7.7,12.4,0.0,Convection,Buttercream,Imported,331.5,50.7 %,6.9,5,4.7,2025-04-22,Average
,262.8 g,213.5 g,139.3,3.0,168.3,174.5 °C,32.5,11.3,10.8,20.2,Electric,Fondant,Local,366.1,63.9 %,9.3,2,4.1,2023-06-13,Excellent
Black Forest,283.7 g,232.8 g,140.1,3.0,253.8,227.7 °C,20.0,4.1,15.1,14.9,Electric,Ganache,Local,443.6,53.9 %,6.7,11,3.3,2024-05-23,Average
Butterscotch,317.5 g,204.1 g,167.7,2.0,336.1,186.9 °C,47.5,11.5,17.1,7.4,Electric,Buttercream,Local,420.3,56.0 %,7.3,4,4.2,2024-11-24,Good
Strawberry,312.7 g,228.1 g,135.5,2.0,167.2,172.5 °C,32.5,12.6,5.1,13.7,Gas,Whipped Cream,Local,226.4,55.6 %,7.7,6,4.8,2024-05-10,Good
Chocolate,290.6 g,194.7 g,147.6,1.0,164.7,192.4 °C,27.7,6.5,16.0,4.7,Electric,Whipped Cream,Local,724.5,54.4 %,8.7,2,3.4,2024-02-28,Good
Chocolate,300.3 g,204.0 g,156.8,3.0,213.5,220.8 °C,20.0,10.8,19.1,5.5,Electric,Buttercream,Mixed,364.1,50.0 %,7.6,3,4.6,2025-02-18,Good
Butterscotch,330.7 g,184.2 g,121.9,5.0,183.3,207.0 °C,39.7,12.3,9.8,6.8,Electric,Ganache,Local,263.1,51.1 %,7.8,12,3.7,2025-03-06,Good
Vanilla,272.9 g,192.2 g,,5.0,159.4,206.9 °C,38.4,9.1,20.0,13.5,Electric,Fondant,Local,285.9,54.3 %,8.7,5,3.0,2025-03-10,Good
Chocolate,245.6 g,204.9 g,124.4,3.0,195.1,229.9 °C,33.4,12.6,17.4,16.1,Electric,Ganache,Imported,312.4,45.7 %,8.0,5,3.4,2024-12-15,Good
Strawberry,332.2 g,183.0 g,127.8,1.0,205.8,217.1 °C,34.5,7.9,10.7,9.5,Gas,Fondant,Local,260.9,53.8 %,7.1,6,4.6,2024-02-28,Good
Strawberry,261.2 g,191.1 g,140.1,4.0,170.9,167.8 °C,28.3,10.9,10.3,12.1,Gas,Whipped Cream,Local,178.6,49.4 %,6.7,8,2.8,2025-07-04,Average
Black Forest,256.7 g,213.0 g,159.5,4.0,171.7,191.1 °C,28.7,10.2,15.1,11.5,Gas,Ganache,Local,366.3,57.0 %,7.7,4,3.6,2024-08-16,Good
Vanilla,230.6 g,255.9 g,152.7,2.0,249.7,205.6 °C,44.7,10.4,13.0,2.6,Electric,Ganache,Imported,310.8,59.9 %,8.8,6,4.2,2023-03-14,Good
Chocolate,299.2 g,166.0 g,137.3,4.0,155.1,201.3 °C,31.9,13.3,12.1,0.0,Electric,Ganache,Imported,449.6,67.7 %,7.6,4,3.9,2024-07-09,Good
Butterscotch,234.1 g,,143.8,3.0,162.4,207.7 °C,37.7,10.3,23.3,11.4,Gas,Fondant,Imported,403.2,75.7 %,8.4,7,4.8,2023-03-19,Good
Vanilla,255.0 g,190.5 g,163.2,4.0,164.5,258.9 °C,31.8,8.6,19.1,10.8,Electric,Ganache,Local,478.7,58.6 %,7.2,8,4.0,2025-01-18,Good
Black Forest,299.9 g,218.6 g,138.4,2.0,248.8,184.6 °C,33.5,15.3,12.5,5.5,Electric,Ganache,Local,393.3,49.6 %,8.0,7,4.5,2025-07-10,Good
Black Forest,305.4 g,224.3 g,125.3,4.0,130.8,171.0 °C,51.8,15.1,16.3,4.6,Electric,Ganache,Local,516.6,54.8 %,8.1,8,3.2,2024-09-20,Good
Strawberry,257.7 g,,128.2,4.0,208.0,169.4 °C,45.8,15.9,15.4,8.7,Electric,Whipped Cream,Local,352.8,44.2 %,7.9,1,3.5,2025-05-09,Good
Vanilla,273.4 g,182.5 g,158.7,1.0,177.4,214.7 °C,40.6,13.5,17.9,8.8,Gas,Ganache,Local,304.6,58.1 %,7.0,10,4.7,2025-09-15,Good
Vanilla,251.7 g,191.1 g,125.3,3.0,255.0,195.8 °C,34.3,12.2,14.2,7.1,Gas,Ganache,Imported,282.9,46.9 %,8.4,13,3.1,2023-02-01,Good
Strawberry,260.7 g,194.4 g,116.5,4.0,190.2,178.6 °C,41.3,14.1,20.8,9.2,Convection,Buttercream,Local,747.9,59.9 %,7.7,15,4.8,2024-08-18,Good
Chocolate Truffle,287.4 g,188.7 g,132.9,2.0,127.8,194.7 °C,20.8,8.2,21.6,0.0,Convection,Buttercream,Local,250.2,59.6 %,9.2,10,3.9,2024-10-09,Excellent
Butterscotch,262.0 g,229.2 g,136.8,3.0,244.2,191.1 °C,34.4,7.6,14.8,3.7,Electric,Whipped Cream,Local,239.8,47.1 %,8.5,1,3.6,2023-07-23,Good
Chocolate,269.9 g,193.9 g,157.4,2.0,171.0,192.9 °C,29.0,5.6,16.9,20.3,Gas,Whipped Cream,Imported,268.7,53.6 %,8.0,11,4.4,2023-02-11,Good
Chocolate,237.5 g,170.6 g,117.6,3.0,129.7,174.2 °C,40.6,7.9,,21.0,Electric,Fondant,Local,350.5,44.8 %,8.2,3,3.2,2023-12-27,Good
Butterscotch,323.9 g,184.0 g,145.1,3.0,166.1,208.4 °C,41.4,9.4,14.9,3.1,Gas,Whipped Cream,Imported,271.4,46.5 %,8.4,5,3.3,2025-04-10,Good
White Forest,296.7 g,171.1 g,165.5,3.0,179.4,210.7 °C,44.2,5.4,14.0,16.2,Electric,Fondant,Local,315.2,54.3 %,9.2,4,4.8,2025-10-22,Excellent
Chocolate Truffle,308.5 g,191.0 g,125.2,1.0,149.6,,34.4,10.1,17.1,12.1,Electric,Whipped Cream,Local,418.9,64.9 %,9.0,11,4.9,2025-03-19,Excellent
Chocolate,331.7 g,210.7 g,139.8,2.0,139.2,197.1 °C,34.3,7.1,15.8,3.9,Electric,Fondant,Imported,284.1,46.9 %,10.0,3,3.0,2025-03-27,Excellent
Strawberry,253.0 g,183.7 g,111.3,3.0,188.2,201.2 °C,39.9,3.6,21.1,7.1,Gas,Fondant,Mixed,602.0,65.4 %,5.8,1,4.3,2024-02-07,Average
Black Forest,266.3 g,187.9 g,157.7,2.0,145.2,199.1 °C,45.2,3.0,16.4,15.4,Gas,Whipped Cream,Imported,240.1,56.7 %,4.2,9,3.4,,Poor
,228.6 g,190.2 g,155.7,3.0,150.2,175.6 °C,23.6,6.4,22.3,13.0,Electric,Buttercream,Imported,238.5,52.7 %,9.2,7,4.5,2024-11-14,Excellent
Vanilla,455.9 g,198.4 g,137.9,3.0,231.6,186.3 °C,33.7,8.2,10.3,13.0,Gas,Fondant,Local,380.4,45.6 %,8.5,10,3.9,2025-04-20,Good
Chocolate,272.9 g,206.9 g,119.0,4.0,168.3,201.8 °C,20.0,13.6,13.1,8.2,Convection,Buttercream,Local,218.4,46.8 %,6.2,6,4.2,2024-10-19,Average
Strawberry,319.5 g,214.2 g,152.5,2.0,145.8,187.6 °C,42.8,6.6,12.7,0.0,Electric,Whipped Cream,Local,218.1,54.0 %,8.2,6,2.7,2024-02-28,Good
Vanilla,242.7 g,264.6 g,133.9,4.0,153.3,213.9 °C,29.4,16.7,14.0,13.2,Gas,Ganache,Local,250.9,48.3 %,8.1,8,4.2,2025-09-12,Good
Red Velvet,317.5 g,198.0 g,107.0,2.0,191.3,180.1 °C,,12.1,13.6,10.7,Gas,Whipped Cream,Mixed,415.4,48.3 %,7.3,7,4.4,2025-09-20,Good
Butterscotch,362.7 g,212.4 g,155.2,3.0,192.6,248.9 °C,24.3,9.8,8.2,14.3,Electric,Fondant,Imported,260.2,50.2 %,8.2,6,2.9,2024-05-23,Good
Vanilla,275.9 g,170.9 g,165.8,2.0,201.7,241.3 °C,34.3,7.5,19.9,15.0,Electric,Buttercream,Imported,236.7,45.5 %,6.7,4,4.9,2023-11-08,Average
Pineapple,248.2 g,,171.2,3.0,207.2,193.9 °C,30.8,8.8,14.9,0.0,Electric,Buttercream,Mixed,286.1,50.8 %,7.5,2,3.0,2025-06-03,Good
Chocolate,273.3 g,190.3 g,119.6,4.0,189.5,178.5 °C,28.8,7.1,14.2,18.4,Electric,Buttercream,Imported,363.3,47.9 %,7.9,10,3.6,2025-02-04,Good
Black Forest,222.5 g,178.2 g,113.3,2.0,199.5,190.3 °C,42.7,9.1,14.7,10.2,Gas,Buttercream,Imported,383.0,58.0 %,8.4,8,3.6,2025-07-15,Good
Butterscotch,276.6 g,185.6 g,131.2,4.0,164.2,220.7 °C,27.8,8.4,14.9,9.3,Electric,Whipped Cream,Imported,207.8,54.4 %,8.2,9,2.6,2024-04-20,Good
Chocolate,309.7 g,193.3 g,148.9,3.0,148.1,193.1 °C,44.5,12.0,13.5,0.9,Electric,Fondant,Local,306.5,48.8 %,7.9,5,4.8,2024-02-20,Good
,276.7 g,186.2 g,123.6,4.0,231.6,204.8 °C,47.5,5.9,8.6,8.3,Electric,Whipped Cream,Local,248.0,60.3 %,6.7,1,5.0,2023-06-02,Average
Red Velvet,268.6 g,280.9 g,116.3,2.5,210.4,199.1 °C,30.8,10.8,16.4,10.1,Electric,Whipped Cream,Mixed,230.2,57.6 %,7.0,10,4.0,2025-10-05,Good
Chocolate,297.4 g,206.8 g,153.9,2.0,169.7,208.0 °C,,9.5,15.5,17.5,Gas,Buttercream,Imported,381.6,51.1 %,5.7,5,3.9,2023-10-21,Average
White Forest,300.5 g,253.8 g,132.2,3.0,159.1,206.7 °C,42.3,8.8,16.1,4.9,Gas,Ganache,Local,229.7,45.0 %,8.0,2,3.6,2024-12-28,Good
Chocolate Truffle,233.3 g,234.9 g,151.4,2.0,282.8,193.7 °C,53.1,3.0,10.9,8.8,Electric,Fondant,Local,461.4,51.7 %,8.6,4,3.6,2023-12-03,Good
Red Velvet,281.0 g,183.9 g,138.5,2.0,153.1,226.0 °C,49.4,8.4,16.4,7.4,Electric,Buttercream,Imported,337.4,56.6 %,6.5,2,3.6,2024-11-22,Average
Vanilla,400.3 g,196.2 g,135.2,3.0,185.8,206.9 °C,36.5,9.8,5.0,7.1,Electric,Buttercream,Local,253.6,58.2 %,8.4,10,4.0,,Good
Red Velvet,240.4 g,187.3 g,137.0,2.0,159.0,220.1 °C,43.5,11.2,23.7,7.3,Electric,Ganache,Mixed,590.6,50.2 %,7.5,3,5.0,2024-01-09,Good
White Forest,275.1 g,192.3 g,,3.0,166.0,194.5 °C,,11.4,18.3,0.1,Electric,Buttercream,Imported,402.9,53.3 %,7.8,8,3.3,,Good
Chocolate,367.8 g,178.8 g,130.4,3.0,156.9,195.7 °C,45.8,12.6,12.1,10.3,Gas,Ganache,Mixed,380.9,58.9 %,7.0,8,5.0,2025-06-19,Good
Strawberry,322.6 g,187.2 g,121.6,3.0,127.6,258.8 °C,25.8,9.7,24.4,6.6,Electric,Fondant,Local,401.4,51.1 %,8.1,7,3.8,2023-06-17,Good
Strawberry,261.7 g,,148.2,3.0,191.5,197.7 °C,31.5,9.8,14.0,11.8,Electric,Fondant,Imported,316.1,49.0 %,5.0,5,3.2,2025-10-29,Average
Black Forest,285.2 g,202.6 g,168.4,,201.4,221.6 °C,,9.3,8.4,15.8,Electric,Buttercream,Mixed,501.2,56.8 %,9.7,5,4.5,2025-03-10,Excellent
Chocolate,277.9 g,200.8 g,129.8,4.0,159.1,178.9 °C,32.0,11.7,8.1,7.2,Gas,Buttercream,Imported,300.7,55.2 %,8.0,2,4.1,2023-08-17,Good
Black Forest,255.1 g,194.3 g,189.9,3.0,304.1,204.2 °C,32.4,9.9,10.2,7.9,Electric,Fondant,Local,334.3,51.4 %,8.5,10,3.5,2024-09-09,Good
Chocolate,275.4 g,,145.8,2.0,187.7,192.1 °C,35.0,12.3,18.4,10.8,Electric,Ganache,Local,406.3,57.1 %,6.6,7,4.7,2024-01-09,Average
Chocolate,268.8 g,190.5 g,143.3,3.0,183.7,228.0 °C,40.3,12.8,16.0,8.4,Gas,Ganache,Local,322.6,48.2 %,6.6,7,2.8,2023-03-20,Average
Chocolate Truffle,281.8 g,231.6 g,152.2,2.0,191.3,188.4 °C,36.0,12.5,20.7,13.4,Electric,Whipped Cream,Mixed,414.7,52.5 %,8.2,2,4.1,2023-07-20,Good
White Forest,255.1 g,168.1 g,160.4,2.0,161.0,191.8 °C,38.7,8.7,20.3,15.5,Convection,Buttercream,Imported,325.1,48.9 %,5.6,6,4.3,2025-04-11,Average
Chocolate,241.8 g,,130.5,3.0,151.3,208.2 °C,27.2,4.4,21.3,19.2,Gas,Fondant,Imported,371.2,56.8 %,7.6,11,3.8,2023-01-16,Good
Chocolate,276.5 g,206.2 g,149.8,1.0,156.6,183.6 °C,29.8,10.5,12.5,6.8,Gas,Ganache,Local,214.4,52.6 %,6.8,2,3.3,2024-01-18,Average
Chocolate,354.4 g,183.4 g,162.4,3.0,162.3,200.3 °C,31.5,10.6,14.4,6.1,Gas,Buttercream,Local,363.6,45.4 %,7.1,8,4.7,2023-01-14,Good
Vanilla,280.8 g,188.7 g,131.7,4.0,197.7,189.4 °C,34.2,4.1,11.0,14.4,Electric,Whipped Cream,Local,514.5,62.8 %,6.8,11,3.3,2024-02-27,Average
Chocolate,267.2 g,205.6 g,138.3,3.8,166.9,200.5 °C,45.0,14.3,17.9,9.1,Gas,Buttercream,Imported,325.3,57.3 %,7.9,11,3.3,2025-03-10,Good
Chocolate,306.8 g,217.2 g,125.9,5.0,199.9,196.8 °C,35.6,11.4,9.5,9.4,Electric,Ganache,Local,413.3,56.3 %,8.3,7,3.5,2023-05-29,Good
Red Velvet,272.7 g,169.1 g,129.9,1.0,144.9,235.2 °C,29.1,14.3,17.2,9.2,Convection,Fondant,Local,493.8,54.9 %,8.9,1,3.9,,Good
,363.3 g,209.6 g,132.1,2.0,159.6,206.0 °C,39.9,10.4,11.0,16.4,Electric,Ganache,Local,553.2,62.2 %,5.7,3,3.6,2024-12-22,Average
Strawberry,277.8 g,187.0 g,124.1,2.0,157.9,180.6 °C,35.6,10.8,16.6,11.6,Electric,Fondant,Local,169.6,55.0 %,6.7,8,4.1,2025-01-01,Average
Black Forest,304.5 g,223.2 g,137.1,3.0,105.9,185.3 °C,33.1,11.1,7.4,3.2,Gas,Ganache,Mixed,300.3,46.8 %,7.1,13,3.0,2024-04-27,Good
Chocolate,254.9 g,168.2 g,144.8,1.0,164.7,191.7 °C,,8.6,13.5,5.0,Electric,Buttercream,Imported,289.0,53.5 %,9.2,9,4.4,2024-04-07,Excellent
Butterscotch,296.4 g,273.3 g,146.9,5.0,149.9,188.1 °C,41.3,6.5,10.2,15.8,Gas,Whipped Cream,Mixed,360.1,51.5 %,7.1,5,4.0,2025-06-17,Good
Pineapple,287.7 g,180.1 g,125.4,1.0,193.9,225.3 °C,,6.2,11.1,24.4,Electric,Whipped Cream,Imported,238.1,50.1 %,7.9,6,3.4,2023-04-12,Good
Pineapple,276.0 g,232.8 g,128.2,2.0,204.4,190.0 °C,34.1,16.8,14.8,15.7,Electric,Whipped Cream,Imported,372.2,61.6 %,7.0,6,4.3,2024-07-17,Good
Pineapple,262.0 g,194.1 g,157.1,4.0,141.9,197.7 °C,32.5,9.4,7.8,5.0,Electric,Ganache,Imported,433.1,67.8 %,6.9,14,3.1,2025-08-21,Average
Chocolate Truffle,258.1 g,181.1 g,128.2,5.0,170.8,208.6 °C,24.0,6.4,10.0,11.0,Electric,Ganache,Mixed,333.2,56.8 %,9.7,3,2.9,2023-02-27,Excellent
Strawberry,288.0 g,201.1 g,156.4,3.0,144.5,262.2 °C,32.7,15.3,12.0,14.8,Electric,Fondant,Local,353.5,49.7 %,8.1,5,3.4,2024-04-27,Good
Chocolate,301.5 g,220.4 g,126.4,3.0,189.1,196.0 °C,,13.9,17.8,5.3,Electric,Ganache,Local,235.7,64.0 %,6.4,14,3.1,2023-06-28,Average
Strawberry,273.7 g,171.4 g,,3.0,158.5,230.9 °C,24.4,13.4,12.3,2.6,Electric,Fondant,Local,398.0,44.8 %,6.9,9,4.4,2024-10-29,Average
White Forest,288.2 g,211.5 g,154.6,3.0,162.6,191.8 °C,26.2,3.8,13.9,15.0,Gas,Ganache,Local,283.7,51.6 %,7.7,12,4.3,2023-03-18,Good
